state,date,positive,negative,pending,hospitalized,death,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,total
MA,20200313,123.0,92.0,,,,215,0.0,0.0,92.0,28.0,120.0,215
MD,20200313,17.0,94.0,,,,111,0.0,0.0,0.0,5.0,5.0,111
ME,20200313,3.0,91.0,17.0,,,94,0.0,0.0,26.0,2.0,28.0,111
MI,20200313,16.0,133.0,26.0,,,149,0.0,0.0,42.0,14.0,56.0,175
MN,20200313,14.0,541.0,,,,555,0.0,0.0,234.0,5.0,239.0,555
MO,20200313,2.0,71.0,,,,73,0.0,0.0,7.0,1.0,8.0,73
MS,20200313,4.0,41.0,,,,45,0.0,0.0,0.0,3.0,3.0,45
MT,20200313,1.0,55.0,,,,56,0.0,0.0,21.0,0.0,21.0,56
NC,20200313,15.0,86.0,,,,101,0.0,0.0,26.0,3.0,29.0,101
ND,20200313,1.0,39.0,12.0,,0.0,40,0.0,0.0,27.0,0.0,27.0,52
NE,20200313,13.0,80.0,33.0,,,93,0.0,0.0,0.0,3.0,3.0,126
NH,20200313,6.0,94.0,21.0,,,100,0.0,0.0,0.0,0.0,0.0,121
NJ,20200313,50.0,97.0,80.0,,1.0,147,0.0,0.0,23.0,20.0,43.0,227
NM,20200313,10.0,190.0,,,,200,0.0,0.0,35.0,5.0,40.0,200
NV,20200313,11.0,168.0,,,,179,0.0,0.0,0.0,4.0,4.0,179
NY,20200313,421.0,2779.0,,,,3200,0.0,0.0,2687.0,205.0,2892.0,3200
OH,20200313,13.0,50.0,159.0,,,63,0.0,0.0,20.0,8.0,28.0,222
OK,20200313,3.0,36.0,37.0,,,39,0.0,0.0,0.0,0.0,0.0,76
OR,20200313,30.0,337.0,157.0,,,367,0.0,0.0,51.0,11.0,62.0,524
PA,20200313,33.0,140.0,130.0,,,173,0.0,0.0,24.0,11.0,35.0,303
RI,20200313,14.0,142.0,29.0,,,156,0.0,0.0,48.0,9.0,57.0,185
SC,20200313,12.0,75.0,,,,87,0.0,0.0,27.0,2.0,29.0,87
SD,20200313,9.0,73.0,11.0,,,82,0.0,0.0,46.0,1.0,47.0,93
TN,20200313,26.0,116.0,,,,142,0.0,0.0,37.0,8.0,45.0,142
TX,20200313,39.0,,,,,39,0.0,0.0,0.0,16.0,16.0,39
UT,20200313,6.0,131.0,,,,137,0.0,0.0,0.0,2.0,2.0,137
VA,20200313,30.0,117.0,,,,147,0.0,0.0,0.0,13.0,13.0,147
VT,20200313,2.0,142.0,,,,144,0.0,0.0,45.0,0.0,45.0,144
WA,20200313,457.0,4350.0,,,31.0,4807,2.0,0.0,1313.0,120.0,1433.0,4807
WI,20200313,19.0,169.0,,,,188,0.0,0.0,85.0,11.0,96.0,188
WV,20200313,0.0,17.0,4.0,,,17,0.0,0.0,10.0,0.0,10.0,21
WY,20200313,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
AK,20200312,0.0,46.0,14.0,,,46,0.0,0.0,0.0,0.0,0.0,60
AL,20200312,0.0,10.0,,,,10,0.0,0.0,0.0,0.0,0.0,10
AR,20200312,6.0,24.0,20.0,,,30,0.0,0.0,12.0,6.0,18.0,50
AZ,20200312,9.0,82.0,24.0,,,91,0.0,0.0,23.0,0.0,23.0,115
CA,20200312,202.0,916.0,,,4.0,1118,4.0,0.0,0.0,45.0,45.0,1118
CO,20200312,45.0,298.0,,,,343,0.0,0.0,47.0,17.0,64.0,343
CT,20200312,6.0,89.0,,,,95,0.0,0.0,18.0,3.0,21.0,95
DC,20200312,10.0,20.0,,,,30,0.0,0.0,0.0,6.0,6.0,30
DE,20200312,4.0,23.0,14.0,,,27,0.0,0.0,6.0,3.0,9.0,41
FL,20200312,32.0,301.0,147.0,,2.0,333,0.0,0.0,0.0,4.0,4.0,480
GA,20200312,31.0,,,,,31,0.0,0.0,0.0,9.0,9.0,31
HI,20200312,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
IA,20200312,14.0,67.0,24.0,,,81,0.0,0.0,21.0,1.0,22.0,105
ID,20200312,0.0,93.0,,,,93,0.0,0.0,26.0,0.0,26.0,93
IL,20200312,25.0,266.0,76.0,,,291,0.0,0.0,22.0,6.0,28.0,367
IN,20200312,12.0,52.0,,,,64,0.0,0.0,19.0,2.0,21.0,64
KS,20200312,4.0,41.0,,,,45,0.0,0.0,0.0,3.0,3.0,45
KY,20200312,8.0,56.0,,,,64,0.0,0.0,10.0,0.0,10.0,64
LA,20200312,14.0,37.0,,,,51,0.0,0.0,0.0,8.0,8.0,51
MA,20200312,95.0,,,,,95,0.0,0.0,0.0,3.0,3.0,95
MD,20200312,12.0,94.0,,,,106,0.0,0.0,0.0,3.0,3.0,106
ME,20200312,1.0,65.0,20.0,,,66,0.0,0.0,23.0,1.0,24.0,86
MI,20200312,2.0,91.0,27.0,,,93,0.0,0.0,34.0,0.0,34.0,120
MN,20200312,9.0,307.0,,,,316,0.0,0.0,90.0,4.0,94.0,316
MO,20200312,1.0,64.0,,,,65,0.0,0.0,64.0,0.0,64.0,65
MS,20200312,1.0,41.0,,,,42,0.0,0.0,21.0,1.0,22.0,42
MT,20200312,1.0,34.0,,,,35,0.0,0.0,13.0,1.0,14.0,35
NC,20200312,12.0,60.0,,,,72,0.0,0.0,60.0,5.0,65.0,72
ND,20200312,1.0,12.0,14.0,,,13,0.0,0.0,5.0,1.0,6.0,27
NE,20200312,10.0,80.0,33.0,,,90,0.0,0.0,33.0,5.0,38.0,123
NH,20200312,6.0,94.0,21.0,,,100,0.0,0.0,56.0,2.0,58.0,121
NJ,20200312,30.0,74.0,20.0,,1.0,104,0.0,0.0,17.0,6.0,23.0,124
NM,20200312,5.0,155.0,,,,160,0.0,0.0,68.0,2.0,70.0,160
NV,20200312,7.0,168.0,,,,175,0.0,0.0,0.0,2.0,2.0,175
NY,20200312,216.0,92.0,,,,308,0.0,0.0,0.0,0.0,0.0,308
OH,20200312,5.0,30.0,52.0,,,35,0.0,0.0,9.0,1.0,10.0,87
OK,20200312,3.0,36.0,4.0,,,39,0.0,0.0,21.0,1.0,22.0,43
OR,20200312,19.0,286.0,62.0,,,305,0.0,0.0,0.0,0.0,0.0,367
PA,20200312,22.0,116.0,81.0,,,138,0.0,0.0,28.0,7.0,35.0,219
RI,20200312,5.0,94.0,8.0,,,99,0.0,0.0,36.0,0.0,36.0,107
SC,20200312,10.0,48.0,,,,58,0.0,0.0,16.0,1.0,17.0,58
SD,20200312,8.0,27.0,11.0,,,35,0.0,0.0,14.0,3.0,17.0,46
TN,20200312,18.0,79.0,,,,97,0.0,0.0,29.0,11.0,40.0,97
TX,20200312,23.0,,,,,23,0.0,0.0,0.0,2.0,2.0,23
UT,20200312,4.0,131.0,,,,135,0.0,0.0,131.0,2.0,133.0,135
VA,20200312,17.0,117.0,,,,134,0.0,0.0,57.0,8.0,65.0,134
VT,20200312,2.0,97.0,,,,99,0.0,0.0,35.0,1.0,36.0,99
WA,20200312,337.0,3037.0,,,29.0,3374,5.0,0.0,862.0,70.0,932.0,3403
WI,20200312,8.0,84.0,,,,92,0.0,0.0,41.0,5.0,46.0,92
WV,20200312,0.0,7.0,1.0,,,7,0.0,0.0,4.0,0.0,4.0,8
WY,20200312,1.0,,,,,1,0.0,0.0,0.0,1.0,1.0,1
AK,20200311,0.0,46.0,14.0,,,46,0.0,0.0,23.0,0.0,23.0,60
AL,20200311,0.0,10.0,,,,10,0.0,0.0,10.0,0.0,10.0,10
AR,20200311,0.0,12.0,14.0,,,12,0.0,0.0,0.0,0.0,0.0,26
AZ,20200311,9.0,59.0,32.0,,,68,0.0,0.0,8.0,3.0,11.0,100
CA,20200311,157.0,916.0,,,,1073,0.0,0.0,226.0,24.0,250.0,1073
CO,20200311,28.0,251.0,,,,279,0.0,0.0,109.0,16.0,125.0,279
CT,20200311,3.0,71.0,,,,74,0.0,0.0,17.0,1.0,18.0,74
DC,20200311,4.0,20.0,15.0,,,24,0.0,0.0,3.0,-1.0,2.0,39
DE,20200311,1.0,17.0,2.0,,,18,0.0,0.0,0.0,1.0,1.0,20
FL,20200311,28.0,301.0,147.0,,2.0,329,2.0,0.0,79.0,9.0,88.0,476
GA,20200311,22.0,,,,,22,0.0,0.0,0.0,5.0,5.0,22
HI,20200311,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
IA,20200311,13.0,46.0,27.0,,,59,0.0,0.0,14.0,5.0,19.0,86
ID,20200311,0.0,67.0,,,,67,0.0,0.0,26.0,0.0,26.0,67
IL,20200311,19.0,244.0,63.0,,,263,0.0,0.0,0.0,0.0,0.0,326
IN,20200311,10.0,33.0,,,,43,0.0,0.0,3.0,4.0,7.0,43
KS,20200311,1.0,41.0,,,,42,0.0,0.0,24.0,0.0,24.0,42
KY,20200311,8.0,46.0,,,,54,0.0,0.0,18.0,2.0,20.0,54
LA,20200311,6.0,37.0,,,,43,0.0,0.0,26.0,5.0,31.0,43
MA,20200311,92.0,,,,,92,0.0,0.0,0.0,0.0,0.0,92
MD,20200311,9.0,94.0,,,,103,0.0,0.0,5.0,3.0,8.0,103
ME,20200311,0.0,42.0,5.0,,,42,0.0,0.0,22.0,0.0,22.0,47
MI,20200311,2.0,57.0,18.0,,,59,0.0,0.0,18.0,2.0,20.0,77
MN,20200311,5.0,217.0,,,,222,0.0,0.0,85.0,2.0,87.0,222
MO,20200311,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
MS,20200311,0.0,20.0,,,,20,0.0,0.0,20.0,0.0,20.0,20
MT,20200311,0.0,21.0,,,,21,0.0,0.0,6.0,0.0,6.0,21
NC,20200311,7.0,,,,,7,0.0,0.0,0.0,0.0,0.0,7
ND,20200311,0.0,7.0,6.0,,,7,0.0,0.0,1.0,0.0,1.0,13
NE,20200311,5.0,47.0,16.0,,,52,0.0,0.0,0.0,2.0,2.0,68
NH,20200311,4.0,38.0,5.0,,,42,0.0,0.0,0.0,0.0,0.0,47
NJ,20200311,24.0,57.0,20.0,,1.0,81,1.0,0.0,13.0,9.0,22.0,100
NM,20200311,3.0,87.0,,,,90,0.0,0.0,18.0,3.0,21.0,90
NV,20200311,5.0,168.0,,,,173,0.0,0.0,154.0,5.0,159.0,173
NY,20200311,216.0,92.0,,,,308,0.0,0.0,0.0,43.0,43.0,308
OH,20200311,4.0,21.0,24.0,,,25,0.0,0.0,7.0,1.0,8.0,49
OK,20200311,2.0,15.0,11.0,,,17,0.0,0.0,0.0,0.0,0.0,28
OR,20200311,19.0,286.0,62.0,,,305,0.0,0.0,73.0,4.0,77.0,367
PA,20200311,15.0,88.0,54.0,,,103,0.0,0.0,88.0,3.0,91.0,157
RI,20200311,5.0,58.0,24.0,,,63,0.0,0.0,5.0,2.0,7.0,87
SC,20200311,9.0,32.0,,,,41,0.0,0.0,8.0,2.0,10.0,41
SD,20200311,5.0,13.0,2.0,,,18,0.0,0.0,2.0,5.0,7.0,20
TN,20200311,7.0,50.0,,,,57,0.0,0.0,50.0,0.0,50.0,57
TX,20200311,21.0,,,,,21,0.0,0.0,0.0,8.0,8.0,21
UT,20200311,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
VA,20200311,9.0,60.0,,,,69,0.0,0.0,7.0,1.0,8.0,69
VT,20200311,1.0,62.0,,,,63,0.0,0.0,22.0,0.0,22.0,63
WA,20200311,267.0,2175.0,,,24.0,2442,24.0,0.0,1065.0,105.0,1170.0,2466
WI,20200311,3.0,43.0,,,,46,0.0,0.0,7.0,1.0,8.0,46
WV,20200311,0.0,3.0,2.0,,,3,0.0,0.0,1.0,0.0,1.0,5
WY,20200311,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
AK,20200310,0.0,23.0,9.0,,,23,0.0,0.0,0.0,0.0,0.0,32
AL,20200310,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0
AR,20200310,0.0,12.0,3.0,,,12,0.0,0.0,0.0,0.0,0.0,15
AZ,20200310,6.0,51.0,27.0,,,57,0.0,0.0,7.0,1.0,8.0,84
CA,20200310,133.0,690.0,,,,823,0.0,0.0,0.0,19.0,19.0,823
CO,20200310,12.0,142.0,1.0,,,154,0.0,0.0,9.0,3.0,12.0,155
CT,20200310,2.0,54.0,,,,56,0.0,0.0,8.0,1.0,9.0,56
DC,20200310,5.0,17.0,2.0,,,22,0.0,0.0,3.0,4.0,7.0,24
DE,20200310,0.0,17.0,3.0,,,17,0.0,0.0,2.0,0.0,2.0,20
FL,20200310,19.0,222.0,155.0,,,241,0.0,0.0,82.0,1.0,83.0,396
GA,20200310,17.0,,,,,17,0.0,0.0,0.0,5.0,5.0,17
HI,20200310,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
IA,20200310,8.0,32.0,11.0,,,40,0.0,0.0,6.0,5.0,11.0,51
ID,20200310,0.0,41.0,,,,41,0.0,0.0,0.0,0.0,0.0,41
IL,20200310,19.0,244.0,63.0,,,263,0.0,0.0,53.0,12.0,65.0,326
IN,20200310,6.0,30.0,,,,36,0.0,0.0,30.0,4.0,34.0,36
KS,20200310,1.0,17.0,21.0,,,18,0.0,0.0,6.0,0.0,6.0,39
KY,20200310,6.0,28.0,,,,34,0.0,0.0,11.0,2.0,13.0,34
LA,20200310,1.0,11.0,,,,12,0.0,0.0,6.0,0.0,6.0,12
MA,20200310,92.0,,,,,92,0.0,0.0,0.0,51.0,51.0,92
MD,20200310,6.0,89.0,,,,95,0.0,0.0,16.0,1.0,17.0,95
ME,20200310,0.0,20.0,5.0,,,20,0.0,0.0,19.0,0.0,19.0,25
MI,20200310,0.0,39.0,24.0,,,39,0.0,0.0,3.0,0.0,3.0,63
MN,20200310,3.0,132.0,,,,135,0.0,0.0,52.0,1.0,53.0,135
MO,20200310,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
MS,20200310,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
MT,20200310,0.0,15.0,,,,15,0.0,0.0,4.0,0.0,4.0,15
NC,20200310,7.0,,,,,7,0.0,0.0,0.0,5.0,5.0,7
ND,20200310,0.0,6.0,2.0,,,6,0.0,0.0,6.0,0.0,6.0,8
NE,20200310,3.0,47.0,16.0,,,50,0.0,0.0,11.0,0.0,11.0,66
NH,20200310,4.0,38.0,5.0,,,42,0.0,0.0,0.0,0.0,0.0,47
NJ,20200310,15.0,44.0,20.0,,,59,0.0,0.0,9.0,4.0,13.0,79
NM,20200310,0.0,69.0,,,,69,0.0,0.0,12.0,0.0,12.0,69
NV,20200310,0.0,14.0,,,,14,0.0,0.0,0.0,0.0,-1.0,14
NY,20200310,173.0,92.0,,,,265,0.0,0.0,0.0,31.0,31.0,265
OH,20200310,3.0,14.0,15.0,,,17,0.0,0.0,3.0,0.0,3.0,32
OK,20200310,2.0,15.0,11.0,,,17,0.0,0.0,7.0,1.0,8.0,28
OR,20200310,15.0,213.0,67.0,,,228,0.0,0.0,48.0,1.0,49.0,295
PA,20200310,12.0,,,,,12,0.0,0.0,0.0,5.0,5.0,12
RI,20200310,3.0,53.0,6.0,,,56,0.0,0.0,0.0,0.0,0.0,62
SC,20200310,7.0,24.0,,,,31,0.0,0.0,0.0,0.0,0.0,31
SD,20200310,0.0,11.0,0.0,,,11,0.0,0.0,6.0,0.0,6.0,11
TN,20200310,7.0,,,,,7,0.0,0.0,0.0,4.0,4.0,7
TX,20200310,13.0,,,,,13,0.0,0.0,0.0,1.0,1.0,13
UT,20200310,2.0,,,,,2,0.0,0.0,0.0,1.0,1.0,2
VA,20200310,8.0,53.0,,,,61,0.0,0.0,15.0,5.0,20.0,61
VT,20200310,1.0,40.0,,,,41,0.0,0.0,6.0,0.0,6.0,41
WA,20200310,162.0,1110.0,,,,1272,0.0,0.0,0.0,26.0,26.0,1272
WI,20200310,2.0,36.0,,,,38,0.0,0.0,0.0,1.0,1.0,38
WV,20200310,0.0,2.0,3.0,,,2,0.0,0.0,0.0,0.0,0.0,5
WY,20200310,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0
AK,20200309,0.0,23.0,9.0,,,23,0.0,0.0,9.0,0.0,9.0,32
AL,20200309,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
AR,20200309,0.0,12.0,0.0,,,12,0.0,0.0,6.0,0.0,6.0,12
AZ,20200309,5.0,44.0,7.0,,,49,0.0,0.0,0.0,0.0,0.0,56
CA,20200309,114.0,690.0,,,,804,0.0,0.0,228.0,26.0,254.0,804
CO,20200309,9.0,133.0,,,,142,0.0,0.0,29.0,1.0,30.0,142
CT,20200309,1.0,46.0,,,,47,0.0,0.0,17.0,0.0,17.0,47
DC,20200309,1.0,14.0,3.0,,,15,0.0,0.0,4.0,0.0,4.0,18
DE,20200309,0.0,15.0,3.0,,,15,0.0,0.0,5.0,0.0,5.0,18
FL,20200309,18.0,140.0,115.0,,,158,0.0,0.0,22.0,1.0,23.0,273
GA,20200309,12.0,,,,,12,0.0,0.0,0.0,5.0,5.0,12
HI,20200309,2.0,,,,,2,0.0,0.0,0.0,1.0,1.0,2
IA,20200309,3.0,26.0,8.0,,,29,0.0,0.0,11.0,3.0,14.0,37
ID,20200309,0.0,41.0,,,,41,0.0,0.0,14.0,0.0,14.0,41
IL,20200309,7.0,191.0,44.0,,,198,0.0,0.0,0.0,1.0,1.0,242
IN,20200309,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
KS,20200309,1.0,11.0,0.0,,,12,0.0,0.0,0.0,0.0,0.0,12
KY,20200309,4.0,17.0,,,,21,0.0,0.0,4.0,3.0,7.0,21
LA,20200309,1.0,5.0,,,,6,0.0,0.0,0.0,1.0,1.0,6
MA,20200309,41.0,,,,,41,0.0,0.0,0.0,28.0,28.0,41
MD,20200309,5.0,73.0,,,,78,0.0,0.0,21.0,2.0,23.0,78
ME,20200309,0.0,1.0,,,,1,0.0,0.0,0.0,0.0,0.0,1
MI,20200309,0.0,36.0,11.0,,,36,0.0,0.0,10.0,0.0,10.0,47
MN,20200309,2.0,80.0,,,,82,0.0,0.0,32.0,1.0,33.0,82
MO,20200309,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
MS,20200309,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
MT,20200309,0.0,11.0,0.0,,,11,0.0,0.0,0.0,0.0,0.0,11
NC,20200309,2.0,,,,,2,0.0,0.0,0.0,0.0,0.0,2
ND,20200309,0.0,0.0,,,,0,0.0,0.0,0.0,0.0,0.0,0
NE,20200309,3.0,36.0,9.0,,,39,0.0,0.0,19.0,2.0,21.0,48
NH,20200309,4.0,38.0,5.0,,,42,0.0,0.0,0.0,0.0,0.0,47
NJ,20200309,11.0,35.0,14.0,,,46,0.0,0.0,4.0,5.0,9.0,60
NM,20200309,0.0,57.0,0.0,,,57,0.0,0.0,9.0,0.0,9.0,57
NV,20200309,1.0,14.0,,,,15,0.0,0.0,0.0,0.0,0.0,15
NY,20200309,142.0,92.0,,,,234,0.0,0.0,0.0,37.0,37.0,234
OH,20200309,3.0,11.0,5.0,,,14,0.0,0.0,1.0,3.0,4.0,19
OK,20200309,1.0,8.0,10.0,,,9,0.0,0.0,0.0,0.0,0.0,19
OR,20200309,14.0,165.0,52.0,,,179,0.0,0.0,65.0,0.0,65.0,231
PA,20200309,7.0,,,,,7,0.0,0.0,0.0,3.0,3.0,7
RI,20200309,3.0,53.0,6.0,,,56,0.0,0.0,23.0,0.0,23.0,62
SC,20200309,7.0,24.0,,,,31,0.0,0.0,16.0,5.0,21.0,31
SD,20200309,0.0,5.0,0.0,,,5,0.0,0.0,0.0,0.0,0.0,5
TN,20200309,3.0,,,,,3,0.0,0.0,0.0,0.0,0.0,3
TX,20200309,12.0,,,,,12,0.0,0.0,0.0,4.0,4.0,12
UT,20200309,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
VA,20200309,3.0,38.0,9.0,,,41,0.0,0.0,2.0,1.0,3.0,50
VT,20200309,1.0,34.0,,,,35,0.0,0.0,6.0,0.0,6.0,35
WA,20200309,136.0,1110.0,,,,1246,0.0,0.0,470.0,34.0,504.0,1246
WI,20200309,1.0,36.0,,,,37,0.0,0.0,5.0,0.0,5.0,37
WV,20200309,0.0,2.0,3.0,,,2,0.0,0.0,0.0,0.0,0.0,5
WY,20200309,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
AK,20200308,0.0,14.0,6.0,,,14,0.0,0.0,2.0,0.0,2.0,20
AL,20200308,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
AR,20200308,0.0,6.0,0.0,,,6,0.0,0.0,0.0,0.0,0.0,6
AZ,20200308,5.0,44.0,7.0,,,49,0.0,0.0,0.0,0.0,0.0,56
CA,20200308,88.0,462.0,,,,550,0.0,0.0,0.0,19.0,19.0,550
CO,20200308,8.0,104.0,,,,112,0.0,0.0,49.0,0.0,49.0,112
CT,20200308,1.0,29.0,8.0,,,30,0.0,0.0,29.0,1.0,30.0,38
DC,20200308,1.0,10.0,0.0,,,11,0.0,0.0,2.0,1.0,3.0,11
DE,20200308,0.0,10.0,0.0,,,10,0.0,0.0,0.0,0.0,0.0,10
FL,20200308,17.0,118.0,108.0,,,135,0.0,0.0,18.0,3.0,21.0,243
GA,20200308,7.0,,,,,7,0.0,0.0,0.0,1.0,1.0,7
HI,20200308,1.0,,,,,1,0.0,0.0,0.0,0.0,0.0,1
IA,20200308,0.0,15.0,2.0,,,15,0.0,0.0,0.0,0.0,0.0,17
ID,20200308,0.0,27.0,,,,27,0.0,0.0,0.0,0.0,0.0,27
IL,20200308,6.0,191.0,44.0,,,197,0.0,0.0,0.0,0.0,0.0,241
IN,20200308,2.0,,,,,2,0.0,0.0,0.0,1.0,1.0,2
KS,20200308,1.0,11.0,0.0,,,12,0.0,0.0,0.0,1.0,1.0,12
KY,20200308,1.0,13.0,,,,14,0.0,0.0,4.0,0.0,4.0,14
LA,20200308,0.0,5.0,,,,5,0.0,0.0,5.0,0.0,5.0,5
MA,20200308,13.0,,,,,13,0.0,0.0,0.0,0.0,0.0,13
MD,20200308,3.0,52.0,,,,55,0.0,0.0,11.0,0.0,11.0,55
ME,20200308,0.0,1.0,,,,1,0.0,0.0,0.0,0.0,0.0,1
